Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
11-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,1,Monday
12-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,2,Tuesday
13-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,3,Wednesday
14-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,4,Thursday
15-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,5,Friday
16-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,6,Saturday
17-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,7,Sunday
18-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,1,Monday
19-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,2,Tuesday
20-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,3,Wednesday
21-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,4,Thursday
22-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,5,Friday
23-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,6,Saturday
24-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,7,Sunday
25-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,1,Monday
26-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,2,Tuesday
27-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,3,Wednesday
28-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,4,Thursday
29-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,5,Friday
30-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,6,Saturday
31-Jan,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,7,Sunday
01-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,1,Monday
02-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,2,Tuesday
03-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,3,Wednesday
04-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,4,Thursday
05-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,5,Friday
06-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,6,Saturday
07-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,7,Sunday
08-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,1,Monday
09-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,2,Tuesday
10-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,3,Wednesday
11-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,4,Thursday
12-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,5,Friday
13-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,6,Saturday
14-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,7,Sunday
15-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,1,Monday
16-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,2,Tuesday
17-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,3,Wednesday
18-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,4,Thursday
19-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,5,Friday
20-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,6,Saturday
21-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,7,Sunday
22-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,1,Monday
23-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,2,Tuesday
24-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,3,Wednesday
25-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,4,Thursday
26-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,5,Friday
27-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,6,Saturday
28-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,7,Sunday
29-Feb,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,10,Week 10,1,Monday
01-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,2,Tuesday
02-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,3,Wednesday
03-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,4,Thursday
04-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,5,Friday
05-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,6,Saturday
06-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,7,Sunday
07-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,1,Monday
08-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,2,Tuesday
09-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,3,Wednesday
10-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,4,Thursday
11-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,5,Friday
12-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,6,Saturday
13-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,7,Sunday
14-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,1,Monday
15-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,2,Tuesday
16-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,3,Wednesday
17-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,4,Thursday
18-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,5,Friday
19-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,6,Saturday
20-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,7,Sunday
21-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,1,Monday
22-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,2,Tuesday
23-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,3,Wednesday
24-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,4,Thursday
25-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,5,Friday
26-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,6,Saturday
27-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,7,Sunday
28-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,1,Monday
29-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,2,Tuesday
30-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,3,Wednesday
31-Mar,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,4,Thursday
01-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,14,Week 14,5,Friday
02-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,14,Week 14,6,Saturday
03-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,14,Week 14,7,Sunday
04-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,1,Monday
05-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,2,Tuesday
06-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,3,Wednesday
07-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,4,Thursday
08-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,5,Friday
09-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,6,Saturday
10-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,7,Sunday
11-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,1,Monday
12-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,2,Tuesday
13-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,3,Wednesday
14-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,4,Thursday
15-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,5,Friday
16-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,6,Saturday
17-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,7,Sunday
18-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,1,Monday
19-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,2,Tuesday
20-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,3,Wednesday
21-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,4,Thursday
22-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,5,Friday
23-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,6,Saturday
24-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,7,Sunday
25-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,1,Monday
26-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,2,Tuesday
27-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,3,Wednesday
28-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,4,Thursday
29-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,5,Friday
30-Apr,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,6,Saturday
01-May,2016,2,Q2,2016 - Q2,5,May,May 2016,18,Week 18,7,Sunday
02-May,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,1,Monday
03-May,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,2,Tuesday
04-May,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,3,Wednesday
05-May,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,4,Thursday
06-May,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,5,Friday
07-May,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,6,Saturday
08-May,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,7,Sunday
09-May,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,1,Monday
10-May,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,2,Tuesday
11-May,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,3,Wednesday
12-May,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,4,Thursday
13-May,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,5,Friday
14-May,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,6,Saturday
15-May,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,7,Sunday
16-May,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,1,Monday
17-May,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,2,Tuesday
18-May,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,3,Wednesday
19-May,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,4,Thursday
20-May,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,5,Friday
21-May,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,6,Saturday
22-May,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,7,Sunday
23-May,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,1,Monday
24-May,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,2,Tuesday
25-May,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,3,Wednesday
26-May,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,4,Thursday
27-May,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,5,Friday
28-May,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,6,Saturday
29-May,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,7,Sunday
30-May,2016,2,Q2,2016 - Q2,5,May,May 2016,23,Week 23,1,Monday
31-May,2016,2,Q2,2016 - Q2,5,May,May 2016,23,Week 23,2,Tuesday
01-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,3,Wednesday
02-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,4,Thursday
03-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,5,Friday
04-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,6,Saturday
05-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,7,Sunday
06-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,1,Monday
07-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,2,Tuesday
08-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,3,Wednesday
09-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,4,Thursday
10-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,5,Friday
11-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,6,Saturday
12-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,7,Sunday
13-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,1,Monday
14-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,2,Tuesday
15-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,3,Wednesday
16-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,4,Thursday
17-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,5,Friday
18-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,6,Saturday
19-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,7,Sunday
20-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,1,Monday
21-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,2,Tuesday
22-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,3,Wednesday
23-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,4,Thursday
24-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,5,Friday
25-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,6,Saturday
26-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,7,Sunday
27-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,27,Week 27,1,Monday
28-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,27,Week 27,2,Tuesday
29-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,27,Week 27,3,Wednesday
30-Jun,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,27,Week 27,4,Thursday
01-Oct,2016,4,Q4,2016 - Q4,10,Oct,Oct 2016,40,Week 40,6,Saturday
02-Oct,2016,4,Q4,2016 - Q4,10,Oct,Oct 2016,40,Week 40,7,Sunday
03-Oct,2016,4,Q4,2016 - Q4,10,Oct,Oct 2016,41,Week 41,1,Monday
04-Oct,2016,4,Q4,2016 - Q4,10,Oct,Oct 2016,41,Week 41,2,Tuesday
05-Oct,2016,4,Q4,2016 - Q4,10,Oct,Oct 2016,41,Week 41,3,Wednesday
06-Oct,2016,4,Q4,2016 - Q4,10,Oct,Oct 2016,41,Week 41,4,Thursday
07-Oct,2016,4,Q4,2016 - Q4,10,Oct,Oct 2016,41,Week 41,5,Friday
